Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
217;Eichmatt;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Ostermundigen Rüti</li></ul>";8590058;1195797.796;2598335.416
218;Eichmatt;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Köniz Schliern</li></ul>";8590058;1195716.753;2598317.457
219;Eigerplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Ostermundigen Rüti</li><li>3 Bern Bahnhof</li></ul>";8571393;1198910.711;2599425.535
220;Eigerplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Weissenbühl Bahnhof</li><li>31 Niederwangen Erle</li></ul>";8571393;1198856.576;2599482.442
221;Eigerplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Köniz Schliern</li><li>3 Weissenbühl</li></ul>";8571393;1198895.639;2599418.12
222;Eigerplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Wankdorf Bahnhof</li><li>31 Brunnadernstrasse</li></ul>";8571393;1198848.77;2599490.909
223;Elfenau;Haltestelle;;"<ul style=""padding-left: 15px;""><li>19 Blinzern</li><li>19 Elfenau</li></ul>";8590063;1197940.18;2602611.811
224;Engeried;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Bern Bahnhof</li></ul>";8590029;1200818.176;2599813.017
225;Engeried;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Neufeld P+R</li></ul>";8590029;1200831.063;2599820.232
226;Europaplatz Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Brunnadernstrasse</li></ul>";8580939;1199107.054;2597552.04
227;Europaplatz Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li><li>8 Saali</li></ul>";8580939;1199128.276;2597564.965
228;Europaplatz Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Niederwangen Erle</li><li>7 Bümpliz</li><li>8 Brünnen Westside Bahnhof</li></ul>";8580939;1199128.571;2597534.605
229;Eyfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>40 Kappelisacker</li><li>41 Zollikofen</li></ul>";8576994;1202275.019;2602539.969
230;Eyfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>40 Allmendingen Käserei</li><li>40 Sonnenfeld</li><li>41 Breitenrain</li></ul>";8576994;1202284.703;2602532.984
231;Eymatt Camping;Haltestelle;;"<ul style=""padding-left: 15px;""><li>101 Schlossmatt</li><li>107 Uettligen Dorf</li></ul>";8571345;1201242.592;2595915.152
